Nennen Sie die 3 Klassen in denen USV unterteilt werden;"- Klasse 1: VFI Voltage and Frequency Independent
- Klasse 2: VI Voltage Independent
- Klasse 3: VFD Voltage and Frequency Dependent"
Welche zwei Störungen im Stromnetz können USV aller Klassen abgefangen?;"- Stromausfall
- große Unterspannung"
Warum kann auf einem Linux PC, Windows Betriebssysteme virtualisiert werden?;Weil die CPU-Architektur die gleiche ist.
Welche Maßnahmen tragen dazu bei, negative Auswirkungen der Überprovisionierung zu vermeiden?;"-Auslastungsprognosen
- Monitoring
- Wenn möglich: Live Migration"
Welche Funktionen umfassen USV der Klasse 1?; "- Unterbrechungsfreie Stromversorgung (USV)
- Spannungsstabilisierungsfunktion
- Einfache AVR-Funktion
- Batterieüberwachung"
Welche Funktionen umfassen USV der Klasse 2?; "- Unterbrechungsfreie Stromversorgung (USV)
- Spannungsstabilisierungsfunktion
- AVR-Funktion
- Netzfrequenz-Korrekturfunktion
- Überspannungsschutz- und Filterungsfunktion
- Batterieüberwachung
- Alarme und Warnungen"
Welche Funktionen umfassen USV der Klasse 3?;"- Unterbrechungsfreie Stromversorgung (USV)
- Spannungsstabilisierungsfunktion
- Hochentwickelte AVR-Funktion
- Netzfrequenz-Korrekturfunktion
- Überspannungsschutz- und Filterungsfunktion
- Batterieüberwachung
- Erweiterte Fernüberwachungs- und Steuerungsfunktionen
- Parallele redundante Konfiguration für erhöhte Leistung und Zuverlässigkeit"
Was sind die Vorteile der Server-Virtualisierung?;"- Energieeinsparung
- Bessere Auslastung der physischen Hardware 
- Beschleunigung von Backups und Updates"
Was muss bei der sogenannte "Freikühlung", also die Kühlung mit Außenluft, oft beachtetet werden?;"- Bei zu hoher Temperatur der Außenluft muss zusätzlich gekühlt werden.
- Bei der direkten Freikühlung müssen meist Luftbefeuchter eingesetzt werden."
USV können bei Stromausfall die angeschlossenen Verbraucher nur eine bestimmte Zeit mit Strom versorgen. Was ist für diese Zeit ausschlaggebend?;"- Die Gesamtkapazität der verbauten Akkus
- Die Leistungsaufnahme der zu versorgenden Geräte"
Bei Computern sprich man von “Carbon Footprint“. Was ist damit gemeint?;Da sie keinen direkten CO2-Ausstoß wie Fahrzeuge oder Flugzeuge haben spricht man von Carbon Footprint und dieser umfasst den Energieverbrauch bei der Herstellung, dem Betrieb und der Entsorgung.
Wie berechnet man die benötigte Scheinleistung für ein USV mit einer Leistungsreserve von 30%? Gegeben ist der Blindfaktor/Scheinleistungsfaktor  von 1,55;"Scheinleistung einzelnes Gerät = 1,55 * Wirkleistung(W) des Gerätes
Gesammt-Scheinleistung = Summe(Scheinleistung einzelner Geräte)
Gesammt-Leistungsreserve = 0,3 * Gesammt-Scheinleistung

Benötigte Scheinleistung = Gesammt-Scheinleistung + Gesammt-Leistungsreserve"
Welche positiven Nebeneffekte bringt die Nutzung der Export-Funktion in Hyper-V bei der Sicherung einer VM mit sich?;"- VMs können auf anderen Hyper-V Servern genutzt werden
- VMs können auf den gleichen Server wieder importiert werden
- Kann als einfache Sicherung bezeichnet werden"
Was sind die Vorteile, die vollwertige PCs gegenüber Thin Clients haben?;"- Offline-Nutzung möglich
- Höhere Grafik-Performance"
Sie haben auf einem Windows 10 Computer das Feature Hyper-V installiert und ihn neugestartet. Sie öffnen den Hyper-V Manager und bekommen die Fehlermeldung das der Hypervisor nicht ausgeführt wird. Was müssen Sie am Computer ändern?;Im BIOS die Virtualisierungs-Erweiterung der CPU aktivieren
Komfort-Klimageräte kommen in Rechenzentren in der Regel nicht zum Einsatz. Was ist der Grund dafür?;Sie entfeuchten die Raumluft unkontrolliert.
Welche elektrische Leistung dient als Berechnungsgrundlage für die Dimensionierung einer USV?;Scheinleistung
Wie Berechnet man die Jahres-Stromkosten für ein Setup das 'h' stunden pro Tag und 'd' Tage pro Jahre läuft bei einem Strompreis von 'p' Cent je kWh?;"Gesammtleistung-kWh = Summe(W der Geräte)/1000
Jahres-Verbrauch-Gesammt = Gesammtleistung-kWh * (h * d)
Jahres-Stromkosten = Jahres-Verbrauch-Gesammt * p"
Ein Rechenzentrum wird in die Bereiche, Feintechnik und Grobtechnik unterteilt. Welche Komponenten gehören zur Feintechnik?;"- Netzwerktechnik
- Sicherheitstechnik"
Eine Entwicklung in der IT hat in den letzten Jahren den Energiebedarf der Rechenzentren stark ansteigen lassen und verursacht heute bis zu 50% des Strombedarfs der IT-Komponenten. Welche Entwicklung ist das?; Durch die verstärkte Nutzung von Cloud-Computing steigt der Strombedarf der Speichersysteme
Im Zusammenhang mit Virtualisierung taucht häufig der Begriff "Überprovisionierung" auf, was ist damit gemeint?;Es werden mehr System-Ressourcen an die VMs zugewiesen als in Summe physisch existieren
